Trial,Block,Conflict,Trial_Type,Cue_Valence,Optimal_Action,Agent_Choice,Agent_Reward,Correct
15693,B4_LC,PI,NW,1,0,1.0,0.0,0
15694,B4_LC,PI,NW,1,0,0.0,1.0,1
15695,B4_LC,PI,NW,1,0,0.0,1.0,1
15696,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15697,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15698,B4_LC,PC,GW,1,1,1.0,1.0,1
15699,B4_LC,PI,NW,1,0,0.0,1.0,1
15700,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15701,B4_LC,PI,NW,1,0,0.0,1.0,1
15702,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15703,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15704,B4_LC,PC,GW,1,1,1.0,1.0,1
15705,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15706,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15707,B4_LC,PC,GW,1,1,0.0,0.0,0
15708,B4_LC,PC,GW,1,1,1.0,1.0,1
15709,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15710,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15711,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15712,B4_LC,PC,GW,1,1,1.0,1.0,1
15713,B4_LC,PC,GW,1,1,1.0,1.0,1
15714,B4_LC,PC,GW,1,1,1.0,1.0,1
15715,B4_LC,PC,GW,1,1,1.0,1.0,1
15716,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15717,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15718,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15719,B4_LC,PI,NW,1,0,0.0,1.0,1
15720,B4_LC,PC,GW,1,1,1.0,1.0,1
15721,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15722,B4_LC,PC,GW,1,1,1.0,1.0,1
15723,B4_LC,PI,NW,1,0,0.0,1.0,1
15724,B4_LC,PC,GW,1,1,1.0,1.0,1
15725,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15726,B4_LC,PC,GW,1,1,1.0,1.0,1
15727,B4_LC,PI,NW,1,0,1.0,0.0,0
15728,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15729,B4_LC,PC,GW,1,1,1.0,1.0,1
15730,B4_LC,PC,GW,1,1,1.0,1.0,1
15731,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15732,B4_LC,PC,GW,1,1,1.0,1.0,1
15733,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15734,B4_LC,PC,GW,1,1,1.0,1.0,1
15735,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15736,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15737,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15738,B4_LC,PI,NW,1,0,0.0,1.0,1
15739,B4_LC,PI,GAL,-1,1,0.0,-1.0,0
15740,B4_LC,PC,GW,1,1,1.0,1.0,1
15741,B4_LC,PC,GW,1,1,1.0,1.0,1
15742,B4_LC,PI,NW,1,0,1.0,0.0,0
15743,B4_LC,PI,NW,1,0,0.0,1.0,1
15744,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15745,B4_LC,PI,NW,1,0,1.0,0.0,0
15746,B4_LC,PI,NW,1,0,1.0,0.0,0
15747,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15748,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15749,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15750,B4_LC,PC,GW,1,1,1.0,1.0,1
15751,B4_LC,PC,GW,1,1,1.0,1.0,1
15752,B4_LC,PI,NW,1,0,0.0,1.0,1
15753,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15754,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15755,B4_LC,PI,NW,1,0,1.0,0.0,0
15756,B4_LC,PC,GW,1,1,1.0,1.0,1
15757,B4_LC,PI,NW,1,0,0.0,1.0,1
15758,B4_LC,PC,GW,1,1,1.0,1.0,1
15759,B4_LC,PC,GW,1,1,1.0,1.0,1
15760,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15761,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15762,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15763,B4_LC,PC,GW,1,1,1.0,1.0,1
15764,B4_LC,PC,GW,1,1,1.0,1.0,1
15765,B4_LC,PC,GW,1,1,1.0,1.0,1
15766,B4_LC,PC,GW,1,1,1.0,1.0,1
15767,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15768,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15769,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15770,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15771,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15772,B4_LC,PI,NW,1,0,1.0,0.0,0
15773,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15774,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15775,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15776,B4_LC,PC,GW,1,1,1.0,1.0,1
15777,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15778,B4_LC,PI,NW,1,0,0.0,1.0,1
15779,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15780,B4_LC,PC,GW,1,1,1.0,1.0,1
15781,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15782,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15783,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15784,B4_LC,PC,GW,1,1,1.0,1.0,1
15785,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15786,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15787,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15788,B4_LC,PI,NW,1,0,0.0,1.0,1
15789,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15790,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15791,B4_LC,PC,GW,1,1,1.0,1.0,1
15792,B4_LC,PC,GW,1,1,1.0,1.0,1
15793,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15794,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15795,B4_LC,PC,GW,1,1,0.0,0.0,0
15796,B4_LC,PI,NW,1,0,0.0,1.0,1
15797,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15798,B4_LC,PC,GW,1,1,1.0,1.0,1
15799,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15800,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15801,B4_LC,PI,GAL,-1,1,0.0,-1.0,0
15802,B4_LC,PC,GW,1,1,1.0,1.0,1
15803,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15804,B4_LC,PC,GW,1,1,1.0,1.0,1
15805,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15806,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15807,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15808,B4_LC,PC,GW,1,1,1.0,1.0,1
15809,B4_LC,PC,GW,1,1,1.0,1.0,1
15810,B4_LC,PC,GW,1,1,1.0,1.0,1
15811,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15812,B4_LC,PC,GW,1,1,1.0,1.0,1
15813,B4_LC,PC,GW,1,1,1.0,1.0,1
15814,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15815,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15816,B4_LC,PI,NW,1,0,0.0,1.0,1
15817,B4_LC,PI,NW,1,0,1.0,0.0,0
15818,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15819,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15820,B4_LC,PC,GW,1,1,1.0,1.0,1
15821,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15822,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15823,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15824,B4_LC,PC,GW,1,1,1.0,1.0,1
15825,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15826,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15827,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15828,B4_LC,PI,NW,1,0,1.0,0.0,0
15829,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15830,B4_LC,PC,GW,1,1,1.0,1.0,1
15831,B4_LC,PI,NW,1,0,1.0,0.0,0
15832,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15833,B4_LC,PI,NW,1,0,0.0,1.0,1
15834,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15835,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15836,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15837,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15838,B4_LC,PI,GAL,-1,1,0.0,-1.0,0
15839,B4_LC,PC,GW,1,1,1.0,1.0,1
15840,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15841,B4_LC,PI,NW,1,0,0.0,1.0,1
15842,B4_LC,PC,GW,1,1,1.0,1.0,1
15843,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15844,B4_LC,PC,GW,1,1,1.0,1.0,1
15845,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15846,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15847,B4_LC,PC,GW,1,1,1.0,1.0,1
15848,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15849,B4_LC,PI,NW,1,0,1.0,0.0,0
15850,B4_LC,PC,GW,1,1,1.0,1.0,1
15851,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15852,B4_LC,PC,GW,1,1,1.0,1.0,1
15853,B4_LC,PI,NW,1,0,1.0,0.0,0
15854,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15855,B4_LC,PC,GW,1,1,1.0,1.0,1
15856,B4_LC,PC,GW,1,1,1.0,1.0,1
15857,B4_LC,PI,GAL,-1,1,0.0,-1.0,0
15858,B4_LC,PI,GAL,-1,1,1.0,0.0,1
15859,B4_LC,PC,GW,1,1,1.0,1.0,1
15860,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15861,B4_LC,PC,GW,1,1,1.0,1.0,1
15862,B4_LC,PI,NW,1,0,1.0,0.0,0
15863,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15864,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15865,B4_LC,PC,NAL,-1,0,1.0,-1.0,0
15866,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15867,B4_LC,PC,NAL,-1,0,0.0,0.0,1
15868,B4_LC,PI,NW,1,0,0.0,1.0,1
15869,B4_LC,PC,GW,1,1,1.0,1.0,1
