"userId","trialNumber","stimulus","knocked","scoreChange"
210241,1,2,1,0
210241,2,3,0,0
210241,3,4,1,0
210241,4,3,0,0
210241,5,2,1,50
210241,6,1,1,50
210241,7,2,1,0
210241,8,4,0,50
210241,9,2,1,0
210241,10,3,0,0
210241,11,3,1,-50
210241,12,4,0,0
210241,13,1,1,50
210241,14,3,0,0
210241,15,3,0,0
210241,16,1,1,0
210241,17,4,0,50
210241,18,3,0,0
210241,19,4,0,0
210241,20,1,1,0
210241,21,1,1,0
210241,22,3,0,50
210241,23,1,1,50
210241,24,3,0,0
210241,25,2,1,0
210241,26,1,1,50
210241,27,3,0,0
210241,28,4,0,50
210241,29,4,0,50
210241,31,1,1,50
210241,30,1,1,50
210241,32,4,0,0
210241,33,3,0,0
210241,34,1,1,50
210241,35,3,0,0
210241,36,4,0,50
210241,37,3,0,0
210241,38,2,1,50
210241,39,1,1,50
210241,40,3,0,0
210241,41,3,0,0
210241,42,2,1,50
210241,43,2,1,0
210241,44,3,0,0
210241,45,4,0,50
210241,46,1,1,50
210241,47,2,1,50
210241,48,1,1,50
210241,49,4,0,50
210241,50,2,1,0
210241,51,2,1,0
210241,52,2,1,0
210241,53,4,0,0
210241,54,1,1,0
210241,55,3,0,0
210241,56,1,1,50
210241,57,4,0,50
210241,58,2,1,0
210241,59,3,0,50
210241,60,1,1,50
210241,61,2,1,0
210241,62,4,0,0
210241,63,4,0,50
210241,64,1,1,50
210241,65,2,1,50
210241,66,4,0,0
210241,67,2,1,50
210241,68,3,0,50
210241,69,2,1,50
210241,70,3,0,0
210241,71,1,1,50
210241,72,2,1,0
210241,73,1,1,50
210241,74,2,1,0
210241,75,1,1,0
210241,76,4,0,0
210241,77,2,1,0
210241,78,4,0,50
210241,79,4,0,50
210241,80,4,0,50
210306,1,2,1,50
210306,2,2,1,50
210306,3,3,1,0
210306,4,1,1,50
210306,5,2,1,0
210306,6,1,1,50
210306,7,1,1,50
210306,8,4,1,0
210306,9,2,1,50
210306,10,1,1,50
210306,11,3,1,-50
210306,12,1,1,50
210306,13,4,0,50
210306,14,4,0,50
210306,15,3,0,0
210306,16,2,0,-50
210306,17,2,0,0
210306,18,2,1,0
210306,19,4,1,-50
210306,20,1,1,50
210306,21,3,1,0
210306,22,2,1,50
210306,23,3,0,0
210306,24,4,1,0
210306,25,4,1,-50
210306,26,2,1,0
210306,27,2,0,-50
210306,28,3,0,0
210306,29,1,1,50
210306,30,4,0,50
210306,31,3,1,-50
210306,32,1,1,50
210306,33,3,0,50
210306,34,1,1,50
210306,35,2,1,0
210306,36,1,1,50
210306,37,1,1,50
210306,38,4,1,0
210306,39,3,0,0
210306,40,1,1,50
210306,41,1,1,50
210306,42,3,0,0
210306,43,2,1,50
210306,44,1,0,-50
210306,45,4,1,0
210306,46,1,1,0
210306,47,2,0,-50
210306,48,2,1,50
210306,49,1,1,50
210306,50,2,1,0
210306,51,3,1,0
210306,52,4,0,50
210306,53,3,1,0
210306,54,3,0,0
210306,55,4,0,50
210306,56,4,1,0
210306,57,4,0,50
210306,58,2,1,0
210306,59,4,1,0
210306,60,3,0,50
210306,61,2,1,0
210306,62,3,0,0
210306,63,2,1,0
210306,64,4,1,0
210306,65,2,0,0
210306,66,1,1,0
210306,67,4,1,0
210306,68,4,0,50
