"userId","trialNumber","stimulus","knocked","scoreChange"
210241,81,2,1,0
210241,82,3,0,50
210241,83,4,0,50
210241,84,2,1,0
210241,85,3,0,0
210241,86,1,1,0
210241,87,2,1,0
210241,88,2,1,0
210241,89,4,0,50
210241,90,2,1,0
210241,91,1,1,0
210241,92,3,0,50
210241,93,2,1,0
210241,94,3,0,0
210241,95,1,1,50
210241,96,1,1,0
210241,97,2,1,0
210241,98,4,0,50
210241,99,4,0,50
210241,100,4,0,0
210241,101,4,0,50
210241,102,4,0,50
210241,103,4,0,50
210241,104,4,0,50
210241,105,4,0,0
210241,106,1,1,0
210241,107,2,1,0
210241,108,2,1,0
210241,109,4,1,0
210241,110,2,1,50
210241,111,1,1,0
210241,112,3,0,50
210241,113,1,1,50
210241,114,2,1,0
210241,115,4,0,50
210241,116,1,1,50
210241,117,1,1,50
210241,118,2,1,0
210241,119,4,0,50
210241,120,4,0,50
210241,121,2,1,0
210241,122,2,1,50
210241,123,3,0,50
210241,124,4,0,50
210241,125,4,0,50
210241,126,2,1,0
210241,127,3,0,0
210241,128,2,1,0
210241,129,4,0,50
210241,130,1,1,50
210241,131,3,0,0
210241,132,2,1,0
210241,133,4,0,50
210241,134,2,1,0
210241,135,4,0,50
210241,136,1,1,0
210241,137,2,1,0
210241,138,2,1,0
210241,139,2,1,50
210241,140,4,0,0
210241,141,4,0,50
210241,142,4,0,0
210241,143,2,1,0
210241,144,3,0,0
210241,145,2,1,0
210241,146,1,1,50
210241,147,4,0,0
210241,148,2,1,0
210241,149,3,0,0
210241,150,2,1,0
210241,151,3,0,0
210241,152,2,1,0
210241,153,4,0,50
210241,154,4,0,0
210241,155,4,0,50
210241,156,4,0,50
210241,157,3,0,0
210241,158,2,1,0
210241,159,4,0,50
210241,160,2,1,0
210306,103,4,0,0
210306,101,4,0,50
210306,102,1,0,0
210306,115,3,1,-50
210306,104,4,0,0
210306,113,2,0,0
210306,114,1,0,0
210306,119,2,0,-50
210306,116,2,0,-50
