Trial,Block,Conflict,Trial_Type,Cue_Valence,Optimal_Action,Agent_Choice,Agent_Reward,Correct
1,B1_MC,PI,NW,1,0,1.0,0.0,0
2,B1_MC,PI,NW,1,0,1.0,0.0,0
3,B1_MC,PI,NW,1,0,1.0,0.0,0
4,B1_MC,PI,NW,1,0,1.0,0.0,0
5,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
6,B1_MC,PI,NW,1,0,1.0,0.0,0
7,B1_MC,PI,NW,1,0,1.0,0.0,0
8,B1_MC,PI,NW,1,0,1.0,0.0,0
9,B1_MC,PI,GAL,-1,1,1.0,0.0,1
10,B1_MC,PC,GW,1,1,0.0,0.0,0
11,B1_MC,PI,GAL,-1,1,1.0,0.0,1
12,B1_MC,PC,GW,1,1,1.0,1.0,1
13,B1_MC,PI,NW,1,0,0.0,1.0,1
14,B1_MC,PI,GAL,-1,1,1.0,0.0,1
15,B1_MC,PI,GAL,-1,1,0.0,-1.0,0
16,B1_MC,PI,GAL,-1,1,1.0,0.0,1
17,B1_MC,PC,NAL,-1,0,0.0,0.0,1
18,B1_MC,PI,GAL,-1,1,1.0,0.0,1
19,B1_MC,PI,GAL,-1,1,1.0,0.0,1
20,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
21,B1_MC,PI,NW,1,0,1.0,0.0,0
22,B1_MC,PC,GW,1,1,0.0,0.0,0
23,B1_MC,PC,NAL,-1,0,0.0,0.0,1
24,B1_MC,PI,NW,1,0,1.0,0.0,0
25,B1_MC,PC,GW,1,1,1.0,1.0,1
26,B1_MC,PC,GW,1,1,1.0,1.0,1
27,B1_MC,PC,GW,1,1,1.0,1.0,1
28,B1_MC,PI,GAL,-1,1,0.0,-1.0,0
29,B1_MC,PI,GAL,-1,1,0.0,-1.0,0
30,B1_MC,PI,GAL,-1,1,1.0,0.0,1
31,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
32,B1_MC,PC,GW,1,1,0.0,0.0,0
33,B1_MC,PI,NW,1,0,0.0,1.0,1
34,B1_MC,PC,NAL,-1,0,0.0,0.0,1
35,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
36,B1_MC,PC,GW,1,1,1.0,1.0,1
37,B1_MC,PI,NW,1,0,0.0,1.0,1
38,B1_MC,PI,NW,1,0,1.0,0.0,0
39,B1_MC,PI,GAL,-1,1,1.0,0.0,1
40,B1_MC,PC,GW,1,1,1.0,1.0,1
41,B1_MC,PC,NAL,-1,0,0.0,0.0,1
42,B1_MC,PC,GW,1,1,0.0,0.0,0
43,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
44,B1_MC,PI,GAL,-1,1,0.0,-1.0,0
45,B1_MC,PC,NAL,-1,0,0.0,0.0,1
46,B1_MC,PC,NAL,-1,0,0.0,0.0,1
47,B1_MC,PI,GAL,-1,1,1.0,0.0,1
48,B1_MC,PI,NW,1,0,1.0,0.0,0
49,B1_MC,PC,NAL,-1,0,1.0,-1.0,0
50,B1_MC,PI,GAL,-1,1,1.0,0.0,1
51,B1_MC,PI,NW,1,0,1.0,0.0,0
52,B1_MC,PI,GAL,-1,1,0.0,-1.0,0
53,B1_MC,PC,NAL,-1,0,0.0,0.0,1
54,B1_MC,PI,NW,1,0,1.0,0.0,0
55,B1_MC,PC,GW,1,1,0.0,0.0,0
56,B1_MC,PC,GW,1,1,1.0,1.0,1
57,B1_MC,PI,NW,1,0,0.0,1.0,1
