Trial,Block,Conflict,Trial_Type,Cue_Valence,Optimal_Action,Agent_Choice,Agent_Reward,Correct
108,B2_HC,PC,NAL,-1,0,0.0,0.0,1
109,B2_HC,PI,NW,1,0,0.0,1.0,1
110,B2_HC,PC,NAL,-1,0,0.0,0.0,1
111,B2_HC,PI,NW,1,0,1.0,0.0,0
112,B2_HC,PI,GAL,-1,1,1.0,0.0,1
113,B2_HC,PI,GAL,-1,1,1.0,0.0,1
114,B2_HC,PI,GAL,-1,1,1.0,0.0,1
115,B2_HC,PI,NW,1,0,1.0,0.0,0
116,B2_HC,PI,GAL,-1,1,1.0,0.0,1
117,B2_HC,PI,NW,1,0,0.0,1.0,1
118,B2_HC,PI,NW,1,0,0.0,1.0,1
119,B2_HC,PC,NAL,-1,0,0.0,0.0,1
120,B2_HC,PI,NW,1,0,1.0,0.0,0
121,B2_HC,PI,NW,1,0,0.0,1.0,1
122,B2_HC,PI,NW,1,0,1.0,0.0,0
123,B2_HC,PI,GAL,-1,1,1.0,0.0,1
124,B2_HC,PC,NAL,-1,0,0.0,0.0,1
125,B2_HC,PI,GAL,-1,1,1.0,0.0,1
126,B2_HC,PC,GW,1,1,1.0,1.0,1
127,B2_HC,PC,NAL,-1,0,0.0,0.0,1
128,B2_HC,PI,GAL,-1,1,1.0,0.0,1
129,B2_HC,PI,GAL,-1,1,1.0,0.0,1
130,B2_HC,PI,GAL,-1,1,0.0,-1.0,0
131,B2_HC,PI,NW,1,0,1.0,0.0,0
132,B2_HC,PI,GAL,-1,1,1.0,0.0,1
133,B2_HC,PI,NW,1,0,0.0,1.0,1
134,B2_HC,PI,GAL,-1,1,1.0,0.0,1
135,B2_HC,PI,NW,1,0,0.0,1.0,1
136,B2_HC,PI,GAL,-1,1,1.0,0.0,1
137,B2_HC,PI,GAL,-1,1,0.0,-1.0,0
138,B2_HC,PI,GAL,-1,1,1.0,0.0,1
139,B2_HC,PI,NW,1,0,1.0,0.0,0
140,B2_HC,PC,NAL,-1,0,0.0,0.0,1
141,B2_HC,PI,GAL,-1,1,1.0,0.0,1
142,B2_HC,PC,GW,1,1,1.0,1.0,1
143,B2_HC,PC,NAL,-1,0,1.0,-1.0,0
144,B2_HC,PC,NAL,-1,0,0.0,0.0,1
145,B2_HC,PI,NW,1,0,1.0,0.0,0
146,B2_HC,PI,GAL,-1,1,0.0,-1.0,0
147,B2_HC,PI,GAL,-1,1,1.0,0.0,1
148,B2_HC,PI,NW,1,0,0.0,1.0,1
149,B2_HC,PC,GW,1,1,1.0,1.0,1
150,B2_HC,PI,GAL,-1,1,1.0,0.0,1
151,B2_HC,PI,GAL,-1,1,1.0,0.0,1
152,B2_HC,PC,GW,1,1,1.0,1.0,1
153,B2_HC,PI,GAL,-1,1,1.0,0.0,1
154,B2_HC,PC,NAL,-1,0,0.0,0.0,1
155,B2_HC,PI,GAL,-1,1,0.0,-1.0,0
156,B2_HC,PI,GAL,-1,1,1.0,0.0,1
157,B2_HC,PI,NW,1,0,1.0,0.0,0
158,B2_HC,PC,GW,1,1,1.0,1.0,1
159,B2_HC,PI,NW,1,0,0.0,1.0,1
160,B2_HC,PC,NAL,-1,0,0.0,0.0,1
161,B2_HC,PI,NW,1,0,1.0,0.0,0
162,B2_HC,PI,GAL,-1,1,0.0,-1.0,0
163,B2_HC,PI,NW,1,0,1.0,0.0,0
164,B2_HC,PI,NW,1,0,1.0,0.0,0
165,B2_HC,PI,GAL,-1,1,1.0,0.0,1
166,B2_HC,PC,GW,1,1,1.0,1.0,1
167,B2_HC,PI,NW,1,0,1.0,0.0,0
168,B2_HC,PI,NW,1,0,1.0,0.0,0
