subjID	cue	keyPressed	outcome
210050	2	1	0
210050	4	1	0
210050	4	1	0
210050	1	1	1
210050	4	1	0
210050	1	0	0
210050	4	1	0
210050	4	1	0
210050	4	1	0
210050	2	0	-1
210050	4	1	0
210050	4	1	0
210050	1	1	0
210050	1	1	1
210050	1	1	1
210050	4	0	1
210050	2	1	0
210050	2	0	-1
210050	1	1	1
210050	4	1	0
210050	4	1	0
210050	2	0	0
210050	3	1	-1
210050	1	0	0
210050	3	0	0
210050	4	1	0
210050	4	0	1
210050	4	1	0
210050	3	0	0
210050	2	1	0
210050	4	1	0
210050	1	0	-1
210050	4	1	-1
210050	4	1	-1
210050	4	1	0
210050	4	1	0
210050	4	1	0
210050	4	1	-1
210050	4	1	0
210050	1	0	0
210050	3	1	-1
210050	4	1	-1
210050	3	0	1
210050	2	0	-1
210050	1	1	1
210050	1	1	1
210050	4	0	1
210050	4	0	1
210050	4	0	1
210050	1	0	-1
210050	4	1	0
210050	2	0	-1
210050	4	1	0
210050	4	1	0
210050	4	1	-1
210050	2	0	-1
210050	4	1	0
210050	3	1	-1
210050	4	0	1
210050	2	1	1
210050	4	0	1
210050	4	1	0
210050	4	0	0
210050	4	1	0
210050	3	0	1
210050	3	1	-1
210050	4	1	0
210050	2	0	-1
210050	2	1	0
210050	2	1	0
210050	4	1	-1
210050	4	1	0
210050	2	0	0
210050	3	0	0
210050	2	1	0
210050	3	0	0
210050	3	1	-1
210050	3	1	-1
210050	4	1	-1
210050	2	0	-1
210347	4	0	1
210347	1	1	1
210347	3	0	0
210347	4	0	0
210347	3	0	1
210347	4	0	1
210347	4	0	1
210347	1	1	1
210347	2	1	0
210347	4	0	0
210347	4	0	1
210347	4	0	1
210347	4	0	1
210347	2	1	1
210347	3	0	0
210347	3	0	0
210347	4	0	1
210347	4	0	1
210347	4	0	1
210347	3	0	1
210347	2	0	-1
210347	4	0	1
210347	4	0	1
210347	4	0	1
210347	4	0	1
210347	4	0	1
210347	2	1	0
210347	2	1	0
210347	3	0	0
210347	1	0	0
210347	4	0	1
210347	2	1	1
210347	1	1	1
210347	3	0	1
210347	4	0	1
210347	4	0	1
210347	4	0	1
210347	3	0	0
210347	1	1	0
210347	4	0	1
210347	4	0	1
210347	3	0	0
210347	1	1	1
210347	4	0	1
210347	4	0	0
210347	2	1	0
210347	3	0	0
210347	4	1	0
210347	2	0	-1
210347	4	0	1
210347	2	1	1
210347	1	1	1
210347	4	0	1
